Piel2,Piel,Edad,OjoColor,FAltura,PeloColor2
1,Blanca | 88%,"10-20 | 0,8%",Marrones | 52%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Azules | 42%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Azules | 42%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Marrones | 52%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Marrones | 52%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Azules | 42%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,20-29 | 16%,Azul | 42%,"De 1,50 a 1,65 | 21%",Rubio | 18%
1,Blanca | 88%,20-29 | 16%,Azules | 42%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,20-29 | 16%,Azules | 42%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,20-29 | 16%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,20-29 | 16%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Rubio | 18%
1,Blanca | 88%,20-29 | 16%,Azules | 42%,"De 1,76 a 1,85 |  29%",Rubio | 18%
1,Blanca | 88%,20-29 | 16%,Azules | 42%,"De 1,76 a 1,85 |  29%",Rubio | 18%
1,Negra | 12%,20-29 | 16%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Otros | 12%
1,Negra | 12%,20-29 | 16%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Verdes | 6%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"Más de 1,85 |  14%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Verdes | 6%,"Más de 1,85 |  14%",Castaño | 56%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,50 a 1,65 | 21%",Rubio | 18%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,50 a 1,65 | 21%",Rubio | 18%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,30-39 | 29%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,30-39 | 29%,Azules | 42%,"De 1,76 a 1,85 |  29%",Rubio | 18%
1,Negra | 12%,30-39 | 29%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Otros | 12%
1,Negra | 12%,30-39 | 29%,Marrones | 52%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Negra | 12%,30-39 | 29%,Marrones | 52%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,50 a 1,65 | 21%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Verdes | 6%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Verdes | 6%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,76 a 1,85 |  29%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"Más de 1,85 |  14%",Castaño | 56%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Gris | 14%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"Más de 1,85 |  14%",Gris | 14%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,50 a 1,65 | 21%",Rubio | 18%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,40-49 | 27%,Azules | 42%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Blanca | 88%,40-49 | 27%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Rubio | 18%
1,Negra | 12%,40-49 | 27%,Marrones | 52%,"De 1,66 a 1,75 |  36%",Castaño | 56%
1,Negra | 12%,40-49 | 27%,Marrones | 52%,"De 1,76 a 1,85 |  29%",Otros | 12%
