date,value,lugar,date2,ppint,lugar2,calle,provincia,frase1,dato1,frase2,dato2
1950,0,A Coruña,1950,a, , , , , , ,
1951,1,A Coruña,1951,a, , , , , , ,  
1952,0,A Coruña,1952,a, , , , , , ,  
1953,0,A Coruña,1953,a, , , , , , ,  
1954,0,A Coruña,1954,a, , , , , , ,  
1955,0,A Coruña,1955,a, , , , , , ,  
1956,0,A Coruña,1956,a, , , , , , ,  
1957,1,A Coruña,1957,a, , , , , , ,  
1958,0,A Coruña,1958,a, , , , , , ,  
1959,1,A Coruña,1959,a, , , , , , ,  
1960,1,A Coruña,1960,a, , , , , , ,  
1961,2,A Coruña,1961,a, , , , , , ,  
1962,0,A Coruña,1962,a, , , , , , ,  
1963,0,A Coruña,1963,a, , , , , , ,  
1964,1,A Coruña,1964,a, , , , , , ,  
1965,0,A Coruña,1965,a, , , , , , ,  
1966,0,A Coruña,1966,a, , , , , , ,  
1967,0,A Coruña,1967,a, , , , , , ,  
1968,0,A Coruña,1968,a, , , , , , ,  
1969,1,A Coruña,1969,a, , , , , , ,  
1970,1,A Coruña,1970,a, , , , , , ,  
1971,1,A Coruña,1971,a, , , , , , ,  
1972,3,A Coruña,1972,a, , , , , , ,  
1973,0,A Coruña,1973,a, , , , , , ,  
1974,1,A Coruña,1974,a, , , , , , ,  
1975,2,A Coruña,1975,a, , , , , , ,  
1976,7,A Coruña,1976,a, , , , , , ,  
1977,2,A Coruña,1977,a, , , , , , ,  
1978,5,A Coruña,1978,a, , , , , , ,  
1979,6,A Coruña,1979,a, , , , , , ,  
1980,7,A Coruña,1980,a, , , , , , ,  
1981,10,A Coruña,1981,a, , , , , , ,  
1982,4,A Coruña,1982,a, , , , , , ,  
1983,3,A Coruña,1983,a, , , , , , ,  
1984,0,A Coruña,1984,a, , , , , , ,  
1985,7,A Coruña,1985,a, , , , , , ,  
1986,3,A Coruña,1986,a, , , , , , ,  
1987,8,A Coruña,1987,a, , , , , , ,  
1988,4,A Coruña,1988,a, , , , , , ,  
1989,8,A Coruña,1989,a, , , , , , ,  
1990,15,A Coruña,1990,a, , , , , , ,  
1991,4,A Coruña,1991,a, , , , , , ,  
1992,2,A Coruña,1992,a, , , , , , ,  
1993,6,A Coruña,1993,a, , , , , , ,  
1994,3,A Coruña,1994,a, , , , , , ,  
1995,3,A Coruña,1995,a, , , , , , ,  
1996,5,A Coruña,1996,a, , , , , , ,  
1997,0,A Coruña,1997,a, , , , , , ,  
1998,4,A Coruña,1998,a, , , , , , ,  
1999,4,A Coruña,1999,a, , , , , , ,  
2000,7,A Coruña,2000,a, , , , , , ,  
2001,3,A Coruña,2001,a, , , , , , ,  
2002,1,A Coruña,2002,a, , , , , , ,  
2003,13,A Coruña,2003,a, , , , , , ,  
2004,0,A Coruña,2004,a, , , , , , ,  
2005,15,A Coruña,2005,a, , , , , , ,  
2006,11,A Coruña,2006,a, , , , , , ,  
2007,2,A Coruña,2007,a, , , , , , ,  
2008,2,A Coruña,2008,a, , , , , , ,  
2009,2,A Coruña,2009,a, , , , , , ,  
2010,3,A Coruña,2010,a, , , , , , ,  
2011,5,A Coruña,2011,a, , , , , , ,  
2012,5,A Coruña,2012,a, , , , , , ,  
2013,20,A Coruña,2013,a, , , , , , ,  
2014,3,A Coruña,2014,a, , , , , , ,  
2015,1,A Coruña,2015,a, , , , , , ,  
2016,6,A Coruña,2016,a, , , , , , ,  
2017,8,A Coruña,2017,a, , , , , , ,  
2018,8,A Coruña,2018,a,La estación de A Coruña, -situada cerca del Estadio Municipal de Riazor-,, registró en la década de los 70', un promedio de 3 ,días de más de 30º en verano. En cambio en los últimos 10 años el promedio ha sido de ,6 días.
